insert into Room_booking values ('R001', '08-Nov-2019', '09-Nov-2019', 'S001', '20WMD02003');
insert into Room_booking values ('R064', '02-May-2020', '07-May-2020', 'S004', '20WMD02111');
insert into Room_booking values ('R065', '12-May-2019', '19-May-2019', 'S005', '20WMD02112');
insert into Room_booking values ('R066', '03-Dec-2020', '12-Dec-2020', 'S006', '20WMD02116');
insert into Room_booking values ('R067', '21-Jul-2019', '22-Jul-2019', 'S007', '20WMD02118');
insert into Room_booking values ('R068', '01-Feb-2021', '03-Feb-2021', 'S008', '20WMD02119');
insert into Room_booking values ('R069', '19-Dec-2020', '22-Dec-2020', 'S009', '20WMD02122');
insert into Room_booking values ('R070', '04-Mar-2021', '18-Mar-2021', 'S010', '20WMD02123');
insert into Room_booking values ('R071', '06-Aug-2020', '09-Aug-2020', 'S001', '20WMD02125');
insert into Room_booking values ('R072', '04-May-2020', '12-May-2020', 'S002', '20WMD02126');
insert into Room_booking values ('R073', '06-Feb-2020', '08-Feb-2020', 'S003', '20WMD02129');
insert into Room_booking values ('R074', '26-May-2020', '28-May-2020', 'S004', '20WMD02130');
insert into Room_booking values ('R075', '02-Feb-2021', '26-Feb-2021', 'S005', '20WMD02131');
insert into Room_booking values ('R076', '20-Oct-2020', '22-Oct-2020', 'S006', '20WMD02133');
insert into Room_booking values ('R077', '23-Sep-2019', '25-Sep-2019', 'S007', '20WMD02135');
insert into Room_booking values ('R078', '04-Mar-2021', '11-Mar-2021', 'S008', '20WMD02136');
insert into Room_booking values ('R079', '03-Feb-2021', '19-Feb-2021', 'S009', '20WMD02139');
insert into Room_booking values ('R080', '08-Feb-2020', '15-Feb-2020', 'S010', '20WMD02140');
insert into Room_booking values ('R081', '26-Nov-2020', '28-Nov-2020', 'S001', '20WMD02142');
insert into Room_booking values ('R082', '18-Dec-2019', '20-Dec-2019', 'S002', '20WMD02145');
insert into Room_booking values ('R083', '07-Aug-2019', '10-Aug-2019', 'S003', '20WMD02146');
insert into Room_booking values ('R084', '19-Nov-2019', '27-Nov-2019', 'S004', '20WMD02149');
insert into Room_booking values ('R085', '13-Dec-2020', '27-Dec-2020', 'S005', '20WMD02150');
insert into Room_booking values ('R086', '12-Oct-2020', '16-Oct-2020', 'S006', '20WMD02155');
insert into Room_booking values ('R087', '20-Dec-2019', '22-Dec-2019', 'S007', '20WMD02159');
insert into Room_booking values ('R088', '05-Sep-2020', '08-Sep-2020', 'S008', '20WMD02160');
insert into Room_booking values ('R089', '02-Feb-2020', '05-Feb-2020', 'S009', '20WMD02162');
insert into Room_booking values ('R090', '24-Oct-2019', '25-Oct-2019', 'S010', '20WMD02163');
insert into Room_booking values ('R091', '08-Jan-2021', '27-Jan-2021', 'S001', '20WMD02164');
insert into Room_booking values ('R092', '25-Jan-2020', '26-Jan-2020', 'S002', '20WMD02165');
insert into Room_booking values ('R093', '24-Aug-2019', '27-Aug-2019', 'S003', '20WMD02166');
insert into Room_booking values ('R094', '14-Apr-2020', '18-Apr-2020', 'S004', '20WMD02168');
insert into Room_booking values ('R095', '02-May-2020', '03-May-2020', 'S005', '20WMD02169');
insert into Room_booking values ('R096', '01-Apr-2020', '10-Apr-2020', 'S006', '20WMD02170');
insert into Room_booking values ('R097', '14-Sep-2019', '17-Sep-2019', 'S007', '20WMD02175');
insert into Room_booking values ('R098', '04-Aug-2020', '26-Aug-2020', 'S008', '20WMD02180');
insert into Room_booking values ('R099', '11-Jul-2019', '13-Jul-2019', 'S009', '20WMD02185');
insert into Room_booking values ('R100', '14-Apr-2019', '16-Apr-2019', 'S010', '20WMD02190');
